WS01;A01;card;2199;;4,90837E+15;01.01.2021
WS01;A03;card;987;;5,43759E+15;21.01.2021
WS02;A01;card;12000;;3,77947E+14;13.01.2021
WS02;A03;card;2900;6,75762E+15;;21.01.2021
WS01;A02;card;20234;;3,77947E+14;11.01.2021
WS01;A03;card;198;;5,43759E+15;2021.01.182
WS01;A04;transfer;2199;1,1794E+15;;01.01.2021
WS01;A04;transfer;987;1,1794E+15;;10.01.2021
WS02;A04;card;22000;;6,75762E+15;22.01.2021
WS02;A02;card;2904;;4,90837E+15;01.01.2021
WS01;A01;card;42100;;4,90837E+15;11.01.2021
WS02;A03;card;240;;4,90837E+15;18.01.2021
